"title.variant","title.standard","strata","strata.label"
"DIRECTOR OF INSTITUTIONAL GIVING","DIRECTOR OF DEVELOPMENT","",""
"DIRECTOR OF PHILANTHROPY","DIRECTOR OF DEVELOPMENT","",""
"DIRECTOR PHILANTHROPY","DIRECTOR OF DEVELOPMENT","",""
"FUNDRAISING DIRECTOR","DIRECTOR OF DEVELOPMENT","",""
"SENIOR DIRECTOR OF DEVELOPMENT","DIRECTOR OF DEVELOPMENT","superior","senior"
"SENIOR DIRECTOR OF DEVELOPMENT FINANCE","DIRECTOR OF DEVELOPMENT","superior","senior"
"DIRECTOR OF EDUCATION","DIRECTOR OF EDUCATION","",""
"EDUCATION DIRECTOR","DIRECTOR OF EDUCATION","",""
"SENIOR DIRECTOR OF EDUCATION","DIRECTOR OF EDUCATION","superior","senior"
"DIRECTOR OF ENGAGEMENT","DIRECTOR OF ENGAGEMENT","",""
"DIRECTOR OF ENGINEERING","DIRECTOR OF ENGINEERING","",""
"DIRECTOR OF SPECIAL EVENTS","DIRECTOR OF EVENTS","",""
"EVENTS DIRECTOR","DIRECTOR OF EVENTS","",""
"SENIOR DIRECTOR OF EVENTS","DIRECTOR OF EVENTS","superior","senior"
"DIRECTOR OF EXHIBITIONS","DIRECTOR OF EXHIBITIONS","",""
"DIRECTOR OF EXHIBITS","DIRECTOR OF EXHIBITIONS","",""
"DEPUTY DIRECTOR OF EXTERNAL AFFAIRS","DIRECTOR OF EXTERNAL AFFAIRS","subordinate","deputy"
"DIRECTOR OF EXTERNAL AFFAIRS","DIRECTOR OF EXTERNAL AFFAIRS","",""
"DIRECTOR OF EXTERNAL RELATIONS","DIRECTOR OF EXTERNAL AFFAIRS","",""
"DIRECTOR OF FACILITIES","DIRECTOR OF FACILITIES","",""
"DIRECTOR OF FACILITIES AND SECURITY","DIRECTOR OF FACILITIES","",""
"FACILITIES DIRECTOR","DIRECTOR OF FACILITIES","",""
"ASSOCIATE DIRECTOR OF FINANCE","DIRECTOR OF FINANCE","subordinate","associate"
"DIRECTOR OF FINANCE","DIRECTOR OF FINANCE","",""
"FINANCE DIRECTOR","DIRECTOR OF FINANCE","",""
"HEAD OF FINANCE","DIRECTOR OF FINANCE","",""
"MUSEUM DIRECTOR OF FINANCE","DIRECTOR OF FINANCE","",""
"SENIOR DIRECTOR OF FINANCE","DIRECTOR OF FINANCE","superior","senior"
"DIRECTOR OF FINANCE AND ADMINISTRATION","DIRECTOR OF FINANCE AND ADMINISTRATION","",""
"DIRECTOR OF FINANCE AND OPERATIONS","DIRECTOR OF FINANCE AND OPERATIONS","",""
"DIRECTOR OF HUMAN RESOURCES","DIRECTOR OF HUMAN RESOURCES","",""
"HEAD OF HUMAN RESOURCES","DIRECTOR OF HUMAN RESOURCES","",""
"HUMAN RESOURCES DIRECTOR","DIRECTOR OF HUMAN RESOURCES","",""
"MANAGING DIRECTOR OF HUMAN RESOURCES","DIRECTOR OF HUMAN RESOURCES","",""
"DIRECTOR AND IT SYSTEMS ARCHI","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"DIRECTOR IT","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"DIRECTOR OF INFORMATION TECHNOLOGY","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"DIRECTOR OF IT","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"INFORMATION TECHNOLOGY DIRECTOR","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"IT DIRECTOR","DIRECTOR OF INFORMATION TECHNOLOGY","",""
"DIRECTOR OF LEGAL AFFAIRS","DIRECTOR OF LEGAL AFFAIRS","",""
"DIRECTOR OF LEGISLATIVE AFFAIRS","DIRECTOR OF LEGISLATIVE AFFAIRS","",""
"SENIOR DIRECTOR AND MAJOR GIFTS","DIRECTOR OF MAJOR GIFTS","superior",""
"ASSISTANT MARKETING DIRECTOR","DIRECTOR OF MARKETING","subordinate","assistant"
"DIRECTOR OF MARKETING","DIRECTOR OF MARKETING","",""
"DIRECTOR OF MARKETING AND CO","DIRECTOR OF MARKETING","",""
"DIRECTOR OF MARKETING AND COM","DIRECTOR OF MARKETING","",""
"DIRECTOR OF MARKETING AND COMMITTEE","DIRECTOR OF MARKETING","",""
"MARKETING DIRECTOR","DIRECTOR OF MARKETING","",""
"SENIOR DIRECTOR OF MARKETING","DIRECTOR OF MARKETING","superior",""
"DIRECTOR OF MARKETING AND COMMUNICATIONS","DIRECTOR OF MARKETING AND COMMUNICATIONS","",""
"HEAD OF MARKETING AND COMMUNICATIONS","DIRECTOR OF MARKETING AND COMMUNICATIONS","",""
"DIRECTOR OF MEMBERSHIP","DIRECTOR OF MEMBERSHIP","",""
"MEMBERSHIP DIRECTOR","DIRECTOR OF MEMBERSHIP","",""
"MUSICAL DIRECTOR","DIRECTOR OF MUSIC","",""
"DIRECTOR OF NURSING","DIRECTOR OF NURSING","",""
"DEPUTY DIRECTOR OF OPERATIONS","DIRECTOR OF OPERATIONS","subordinate","deputy"
"DIRECTOR OF MUSEUM OPERATIONS","DIRECTOR OF OPERATIONS","",""
"DIRECTOR OF OPERATIONS II","DIRECTOR OF OPERATIONS","",""
"OPERATIONS DIRECTOR","DIRECTOR OF OPERATIONS","",""
"SENIOR DIRECTOR OF OPERATIONS","DIRECTOR OF OPERATIONS","superior",""
"DIRECTOR OF PRODUCTION","DIRECTOR OF PRODUCTION","",""
"ASSOCIATE PROGRAMS DIRECTOR","DIRECTOR OF PROGRAMS","subordinate",""
"DIRECTOR OF MUSEUM PRGMS","DIRECTOR OF PROGRAMS","",""
"DIRECTOR OF PROGRAMMING","DIRECTOR OF PROGRAMS","",""
"DIRECTOR OF PROGRAMS","DIRECTOR OF PROGRAMS","",""
"DIRECTOR OF PUBLIC PROGRAMS","DIRECTOR OF PROGRAMS","",""
"DIRECTOR PROGRAMMING","DIRECTOR OF PROGRAMS","",""
"PROGRAMS DIRECTOR","DIRECTOR OF PROGRAMS","",""
"SENIOR DIRECTOR OF PROGRAMS","DIRECTOR OF PROGRAMS","superior","senior"
"PUBLIC AFFAIRS DIRECTOR","DIRECTOR OF PUBLIC AFFAIRS","",""
"DIRECTOR OF PUBLIC RELATIONS","DIRECTOR OF PUBLIC RELATIONS","",""
"DIRECTOR OF PUBLICITY","DIRECTOR OF PUBLICITY","",""
"DIRECTOR OF RESEARCH","DIRECTOR OF RESEARCH","",""
"DIRECTOR OF RISK MANAGEMENT","DIRECTOR OF RISK MANAGEMENT","",""
"DIRECTOR OF RETAIL OPERATIONS","DIRECTOR OF SALES","",""
"DIRECTOR OF SALES","DIRECTOR OF SALES","",""
"DIRECTOR OF SECURITY","DIRECTOR OF SECURITY","",""
"SENIOR DIRECTOR OF STRATEGY AND ENGAGEMENT","DIRECTOR OF STRATEGY AND ENGAGEMENT","superior",""
"DIRECTOR OF TECHNOLOGY","DIRECTOR OF TECHNOLOGY","",""
"TECHNOLOGY DIRECTOR","DIRECTOR OF TECHNOLOGY","",""
"DIRECTOR VICE CHAIR","DIRECTOR VICE CHAIR","",""
"DIVISION DIRECTOR","DIVISION DIRECTOR","regional","regional"
"ADMINISTRATION HOSPICE PHYSICIAN","DOCTOR","",""
"ANESTHESIOLOGIST","DOCTOR","",""
"ATTENDING PHYSICIAN","DOCTOR","",""
"CLINICIAN","DOCTOR","",""
"DENTIST","DOCTOR","",""
"DIRECTOR AND PHYSICIAN","DOCTOR","",""
"GENERAL SURGEON","DOCTOR","",""
"INTERNIST","DOCTOR","",""
"MD","DOCTOR","",""
"ORTHOPAEDIC SURGEON","DOCTOR","",""
"ORTHOPEDIC SURGEON","DOCTOR","",""
"PHARMACIST","DOCTOR","",""
