"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"ELDER","industry-specific","religious","Religious workers","21","21-2000","21-2090","21-2099","X","","","","","X","","","","","",""
"EMPLOYEE","operations","employee","","","","","","X","","","","","X","","","","","",""
"ENDOWMENTS","operations","fundraising and membership","","","","","","X","","","","","X","","","","","",""
"ENGINEER","operations","facilities","","","","","","X","","","","","X","","","","","",""
"EVENT COORDINATOR","operations","programs and events","Meeting, convention, and event planners","13","13-1000","13-1120","13-1121","X","","","","","X","","","","","",""
"EVENTS","operations","programs and events","Meeting, convention, and event planners","13","13-1000","13-1120","13-1121","X","","","","","X","","","","","",""
"EXECUTIVE","operations","administration","","","","","","","","","","","","","","","","",""
"EXECUTIVE ARTISTIC DIRECTOR","industry-specific","arts and history","Artists and related workers","27","27-1000","27-1010","27-1011","X","","","X","","","","","","","",""
"EXECUTIVE ASSISTANT","operations","administration","Executive Secretaries and Executive Administrative Assistants","43","43-6000","43-6010","43-6011","X","","","","X","","","","","","",""
"EXECUTIVE CHEF","","","","","","","","","","","","","","","","","","",""
"EXECUTIVE EDITOR","operations","writers and editors","Writers and editors","27","27-3000","27-3040","27-3041","X","","","","X","","","","","","",""
"EXECUTIVE PRODUCER","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","X","","","","","","","",""
"EXECUTIVE SECRETARY","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","43-6011","X","","","","X","","","","","","",""
"EXECUTIVE SENIOR VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","","","","","","","",""
"EXECUTIVE VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"FACILITIES","operations","facilities","","","","","","X","","","","","X","","","","","",""
"FACULTY","industry-specific","higher education","","","","","","X","","","","","X","","","","","",""
"FACULTY REPRESENTATIVE","board","higher education","board","board","board","board","board","","","","","","","X","","","","",""
"FIELD DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"FIELD REPRESENTATIVE","operations","administration","","","","","","X","","","","","X","","","","","",""
"FINANCE","operations","finance","Financial Specialists","13","13-2000","","","X","","","","","X","","","","","",""
"FINANCE ADVISOR","operations","finance","","","","","","X","","","","","X","","","","","",""
"FINANCE AND ADMINISTRATION","","","","","","","","X","","","","","X","","","","","",""
"FINANCE MANAGER","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","","X","","","","","","",""
"FINANCE OFFICER","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","","","X","","","","","",""
"FINANCIAL SECRETARY","operations","finance","","","","","","X","","","","","X","","","","","",""
"FIRE CHIEF","industry-specific","","","","","","","X","","","","","","","","","","",""
"FIRE FIGHTER","industry-specific","","","","","","","X","","","","","X","","","","","",""
"FLEET CAPTAIN","industry-specific","military","","","","","","X","","","","","","","","","","",""
"FOUNDATION MANAGER","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","","X","","","","","","",""
"FOUNDER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","","X","","","","","",""
"FOUNDING ARTISTIC DIRECTOR","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"FUND ADMINISTRATOR","operations","finance","","","","","","X","","","","X","","","","","","",""
"FUNDRAISING","operations","fundraising and membership","Fundraisers","13","13-1000","13-1130","13-1131","X","","","","","X","","","","","",""
"GARDEN DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"GENEALOGIST","industry-specific","medical","","","","","","X","","","","","X","","","","","",""
"GENERAL COUNSEL","operations","legal","Lawyers","23","23-1000","23-1010","23-1011","X","","X","","","","","","","","",""
"GENERAL MANAGER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","X","","","","","","",""
"GIFT SHOP MANAGER","operations","marketing-sales","","","","","","X","","","","X","","","","","","",""
"GOVERNANCE","board","board","board","board","board","board","board","","","","","","","","","","","",""
"GUARD","operations","facilities","","","","","","X","","","","","X","","","","","",""
